CustomerKey,Customer ID,Customer,City,State-Province,Country-Region,Postal Code,email
11194,AW00011194,Jacqueline Price,Palo Alto,California,United States,94303,jacqueline.price.@gmail.com
11195,AW00011195,Megan Henderson,Renton,Washington,United States,98055,megan.henderson.@gmail.com
11196,AW00011196,Alfredo Romero,Beaverton,Oregon,United States,97005,alfredo.romero.@gmail.com
11197,AW00011197,Andrea Morris,Seattle,Washington,United States,98104,andrea.morris.@gmail.com
11198,AW00011198,Brooke Sanders,Santa Cruz,California,United States,95062,brooke.sanders.@gmail.com
11199,AW00011199,Jacqueline Bennett,Burlingame,California,United States,94010,jacqueline.bennett.@gmail.com
11200,AW00011200,Jason Griffin,Victoria,British Columbia,Canada,V8V,jason.griffin.@gmail.com
11201,AW00011201,Amanda Foster,Santa Monica,California,United States,90401,amanda.foster.@gmail.com
11202,AW00011202,Alexia Price,Lakewood,California,United States,90712,alexia.price.@gmail.com
11203,AW00011203,Luis Diaz,Port Hammond,British Columbia,Canada,V6B 3P7,luis.diaz.@gmail.com
11204,AW00011204,Destiny Rivera,Beaverton,Oregon,United States,97005,destiny.rivera.@gmail.com
11205,AW00011205,Abby Fernandez,Burien,Washington,United States,98168,abby.fernandez.@gmail.com
11206,AW00011206,Blake Flores,Lynnwood,Washington,United States,98036,blake.flores.@gmail.com
11207,AW00011207,Danielle Cox,Renton,Washington,United States,98055,danielle.cox.@gmail.com
11208,AW00011208,Maria Reed,Glendale,California,United States,91203,maria.reed.@gmail.com
11209,AW00011209,Allison Evans,Lincoln Acres,California,United States,91950,allison.evans.@gmail.com
11210,AW00011210,Edward Wood,West Covina,California,United States,91791,edward.wood.@gmail.com
11211,AW00011211,Samantha Russell,Haney,British Columbia,Canada,V2W 1W2,samantha.russell.@gmail.com
11212,AW00011212,Chloe Campbell,Metchosin,British Columbia,Canada,V9,chloe.campbell.@gmail.com
11213,AW00011213,Stephanie Murphy,Edmonds,Washington,United States,98020,stephanie.murphy.@gmail.com
11214,AW00011214,Charles Miller,Milwaukie,Oregon,United States,97222,charles.miller.@gmail.com
11215,AW00011215,Ana Perry,Royal Oak,British Columbia,Canada,V8X,ana.perry.@gmail.com
11216,AW00011216,Jasmine Torres,Portland,Oregon,United States,97205,jasmine.torres.@gmail.com
11217,AW00011217,Natalie Adams,Portland,Oregon,United States,97205,natalie.adams.@gmail.com
11218,AW00011218,Olivia Brown,Tacoma,Washington,United States,98403,olivia.brown.@gmail.com
11219,AW00011219,Charles Cook,Woodburn,Oregon,United States,97071,charles.cook.@gmail.com
11220,AW00011220,Erica Huang,Colma,California,United States,94014,erica.huang.@gmail.com
11221,AW00011221,Nathan Perry,Lakewood,California,United States,90712,nathan.perry.@gmail.com
11222,AW00011222,Alexandra Rivera,Santa Monica,California,United States,90401,alexandra.rivera.@gmail.com
11223,AW00011223,Hailey Patterson,Langley,British Columbia,Canada,V3A 4R2,hailey.patterson.@gmail.com
11224,AW00011224,Tiffany Li,Burien,Washington,United States,98168,tiffany.li.@gmail.com
11225,AW00011225,Madison Lee,Renton,Washington,United States,98055,madison.lee.@gmail.com
11226,AW00011226,Sydney Ross,W. Linn,Oregon,United States,97068,sydney.ross.@gmail.com
11227,AW00011227,Marshall Chavez,Colma,California,United States,94014,marshall.chavez.@gmail.com
11228,AW00011228,Ashley Jones,El Cajon,California,United States,92020,ashley.jones.@gmail.com
11229,AW00011229,Adrian Stewart,Redwood City,California,United States,94063,adrian.stewart.@gmail.com
11230,AW00011230,Amber Turner,Santa Monica,California,United States,90401,amber.turner.@gmail.com
11231,AW00011231,Dennis Zhang,Bremerton,Washington,United States,98312,dennis.zhang.@gmail.com
11232,AW00011232,Hailey Bryant,Everett,Washington,United States,98201,hailey.bryant.@gmail.com
11233,AW00011233,Todd Li,Berkeley,California,United States,94704,todd.li.@gmail.com
11234,AW00011234,Anna Griffin,Long Beach,California,United States,90802,anna.griffin.@gmail.com
11235,AW00011235,Angel Stewart,Ballard,Washington,United States,98107,angel.stewart.@gmail.com
11236,AW00011236,Jeremy Butler,Bellingham,Washington,United States,98225,jeremy.butler.@gmail.com
11237,AW00011237,Clarence Anand,Solingen,Nordrhein-Westfalen,Germany,42651,clarence.anand.@gmail.com
11238,AW00011238,Mayra Prasad,Birmingham,England,United Kingdom,B29 6SL,mayra.prasad.@gmail.com
11239,AW00011239,Latoya Goel,London,England,United Kingdom,SW1P 2NU,latoya.goel.@gmail.com
11240,AW00011240,Anne Hernandez,Watford,England,United Kingdom,WA3,anne.hernandez.@gmail.com
11241,AW00011241,Lisa Cai,Les Ulis,Essonne,France,91940,lisa.cai.@gmail.com
11242,AW00011242,Larry Munoz,Versailles,Yveline,France,78000,larry.munoz.@gmail.com
11243,AW00011243,Robin Alvarez,Esher-Molesey,England,United Kingdom,EM15,robin.alvarez.@gmail.com
11244,AW00011244,Alexis Coleman,Runcorn,England,United Kingdom,TY31,alexis.coleman.@gmail.com
11245,AW00011245,Ricky Vazquez,Hamburg,Hessen,Germany,22001,ricky.vazquez.@gmail.com
11246,AW00011246,Latasha Rubio,Hamburg,Hamburg,Germany,20354,latasha.rubio.@gmail.com
11247,AW00011247,Claudia Zhou,Lancaster,England,United Kingdom,LA1 1LN,claudia.zhou.@gmail.com
11248,AW00011248,Tristan Alexander,Saint-Denis,Seine Saint Denis,France,93400,tristan.alexander.@gmail.com
11249,AW00011249,Cindy Patel,Sulzbach Taunus,Saarland,Germany,66272,cindy.patel.@gmail.com
11250,AW00011250,Shannon Liu,Woolston,England,United Kingdom,WA1 4SY,shannon.liu.@gmail.com
11251,AW00011251,Xavier Long,Haney,British Columbia,Canada,V2W 1W2,xavier.long.@gmail.com
11252,AW00011252,Nicholas Thompson,Lemon Grove,California,United States,91945,nicholas.thompson.@gmail.com
11253,AW00011253,José Hernandez,Victoria,British Columbia,Canada,V8V,josé.hernandez.@gmail.com
11254,AW00011254,Johnathan Vance,Burien,Washington,United States,98168,johnathan.vance.@gmail.com
11255,AW00011255,Colin Lin,Burien,Washington,United States,98168,colin.lin.@gmail.com
11256,AW00011256,Katelyn Hernandez,Lynnwood,Washington,United States,98036,katelyn.hernandez.@gmail.com
11257,AW00011257,Jacqueline Powell,Newport Beach,California,United States,92625,jacqueline.powell.@gmail.com
11258,AW00011258,Xavier Hill,Palo Alto,California,United States,94303,xavier.hill.@gmail.com
11259,AW00011259,Victoria Stewart,Salem,Oregon,United States,97301,victoria.stewart.@gmail.com
11260,AW00011260,Katelyn Kelly,Burlingame,California,United States,94010,katelyn.kelly.@gmail.com
11261,AW00011261,Stephanie Collins,San Diego,California,United States,92102,stephanie.collins.@gmail.com
11262,AW00011262,Jennifer Simmons,Port Hammond,British Columbia,Canada,V6B 3P7,jennifer.simmons.@gmail.com
11263,AW00011263,Trinity Richardson,Burien,Washington,United States,98168,trinity.richardson.@gmail.com
11264,AW00011264,Eduardo Martin,Issaquah,Washington,United States,98027,eduardo.martin.@gmail.com
11265,AW00011265,Elizabeth Jones,Kirkland,Washington,United States,98033,elizabeth.jones.@gmail.com
11266,AW00011266,Taylor Howard,Port Orchard,Washington,United States,98366,taylor.howard.@gmail.com
11267,AW00011267,David Diaz,Burlingame,California,United States,94010,david.diaz.@gmail.com
11268,AW00011268,Katelyn Carter,Coronado,California,United States,92118,katelyn.carter.@gmail.com
11269,AW00011269,Ryan Foster,Daly City,California,United States,94015,ryan.foster.@gmail.com
11270,AW00011270,Robert Lee,Lakewood,California,United States,90712,robert.lee.@gmail.com
11271,AW00011271,Danielle Reed,San Francisco,California,United States,94109,danielle.reed.@gmail.com
11272,AW00011272,Lauren Martinez,Beverly Hills,California,United States,90210,lauren.martinez.@gmail.com
11273,AW00011273,Nathan Lal,La Jolla,California,United States,92806,nathan.lal.@gmail.com
11274,AW00011274,Kyle Foster,Bellingham,Washington,United States,98225,kyle.foster.@gmail.com
11275,AW00011275,Jenny Rai,Colma,California,United States,94014,jenny.rai.@gmail.com
11276,AW00011276,Nancy Chapman,Cliffside,British Columbia,Canada,V8Y 1L1,nancy.chapman.@gmail.com
11277,AW00011277,Charles Jackson,Royal Oak,British Columbia,Canada,V8X,charles.jackson.@gmail.com
11278,AW00011278,Jonathan Phillips,Edmonds,Washington,United States,98020,jonathan.phillips.@gmail.com
11279,AW00011279,Amanda Cook,Everett,Washington,United States,98201,amanda.cook.@gmail.com
11280,AW00011280,Robert Collins,Lynnwood,Washington,United States,98036,robert.collins.@gmail.com
11281,AW00011281,Megan Barnes,Burbank,California,United States,91502,megan.barnes.@gmail.com
11282,AW00011282,Christian Thomas,Burien,Washington,United States,98168,christian.thomas.@gmail.com
11283,AW00011283,Arturo Lal,Berkeley,California,United States,94704,arturo.lal.@gmail.com
11284,AW00011284,Theresa Serrano,Chula Vista,California,United States,91910,theresa.serrano.@gmail.com
